2016-07-19 00:05:25,559 [6984] DEBUG Utility.RunTimeLogger [(null)] - 2016/7/19 0:05:25:There is no Get member named 'WAREHOUSE_ID' in class 'SqlParamSet'
2016-07-19 00:12:40,748 [5668] DEBUG Utility.RunTimeLogger [(null)] - 2016/7/19 0:12:40:There is no Get member named 'WAREHOUSE_ID' in class 'SqlParamSet'
[Footer]\r\n[Header]\r\n2016-07-19 00:20:51,484 [10708] DEBUG Utility.RunTimeLogger [(null)] - 2016/7/19 0:20:51:ID
[Footer]\r\n[Header]\r\n2016-07-19 13:49:23,721 [11980] DEBUG Utility.RunTimeLogger [(null)] - 2016/7/19 13:49:23:Î´½«¶ÔÏóÒýÓÃÉèÖÃµ½¶ÔÏóµÄÊµÀý¡£
2016-07-19 13:52:30,664 [16960] DEBUG Utility.RunTimeLogger [(null)] - 2016/7/19 13:52:30:Î´½«¶ÔÏóÒýÓÃÉèÖÃµ½¶ÔÏóµÄÊµÀý¡£
[Footer]\r\n[Header]\r\n2016-07-20 10:50:11,590 [12332] DEBUG Utility.RunTimeLogger [(null)] - 2016/7/20 10:50:09:Áã¼þ¿â´æÊýÁ¿Ð¡ÓÚ³ö¿âÊýÁ¿£¡
2016-07-20 10:50:12,238 [12332] DEBUG Utility.RunTimeLogger [(null)] - 2016/7/20 10:50:12:SqlMap could not invoke RollBackTransaction(). No Transaction was started. Call BeginTransaction() first.
[Footer]\r\n[Header]\r\n2016-07-22 15:48:10,396 [17980] DEBUG Utility.RunTimeLogger [(null)] - 2016/7/22 15:48:09:Áã¼þ¿â´æÊýÁ¿Ð¡ÓÚ³ö¿âÊýÁ¿£¡
2016-07-22 15:48:10,546 [17980] DEBUG Utility.RunTimeLogger [(null)] - 2016/7/22 15:48:10:Áã¼þ¿â´æÊýÁ¿Ð¡ÓÚ³ö¿âÊýÁ¿£¡
[Footer]\r\n
